--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.76 | Setpoint: 180.03 | Error: 0.73 | Output: -21.49
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.1 | MotorSpeed: -100Pitch: 180.76 | Setpoint: 180.03 | Error: 0.73 | Output: -22.36
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.76 | Setpoint: 180.03 | Error: 0.73 | Output: -22.36
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -23.24
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.1 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.38
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.39
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.77 | Setpoint: 180.03 | Error: 0.74 | Output: -22.39
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.0 | MotorSpeed: -100Pitch: 180.76 | Setpoint: 180.03 | Error: 0.73 | Output: -17.67
 | RAW_L: -100 | RAW_R: -100 | MOTOR_CMD: BACKWARD 100 | Error: 0.7 | TiltRate: 0.7 | MotorSpeed: -100Pitch: 180.76 | Setpoint: 180.03 | Error: 0.73 | Output: -22.25
